name,@lat,@lon,type
Chevron,37.6329027,-122.0976015,fuel
Valero,37.6335028,-122.0977716,fuel
76,37.6385399,-122.1016365,fuel
76,38.6689823,-121.3823891,fuel
Speedway,38.703756,-121.3825219,fuel
Arco,34.0188194,-117.680262,fuel
Shell,37.7333323,-122.1986656,fuel
Shell,37.3042699,-121.8609491,fuel
Valero,37.530541,-122.287783,fuel
DoubleTime,37.5173892,-122.2711024,fuel
AAFES Express,36.6449389,-121.8064626,fuel
Shell,36.6647166,-121.775382,fuel
Mobil,34.0187781,-117.592549,fuel
Valero,34.0195152,-117.592866,fuel
Shell,37.7052544,-122.1800359,fuel
7-Eleven,34.0477327,-117.576581,fuel
Valero,36.6801163,-121.784495,fuel
76,37.5192008,-122.2769831,fuel
Love's,37.1114316,-121.016127,fuel
Chevron,38.5303817,-121.9565923,fuel
Flyers Energy,37.518227,-122.2711388,fuel
Shell,34.1070882,-117.560996,fuel
Shell,34.1058479,-117.549422,fuel
Chevron,34.1059104,-117.528721,fuel
76,37.5119067,-122.26677,fuel
Valero,34.079548,-117.6288418,fuel
Arco,34.0782874,-117.628952,fuel
Old Cambria Wine and Gifts,35.5686945,-121.1021204,fuel
Chevron,35.9749654,-116.270503,fuel
76,36.831531,-121.7712572,fuel
Chevron,33.9322367,-116.8227417,fuel
Orcutt 76,34.8649076,-120.446918,fuel
Chevron,33.9256682,-116.885771,fuel
,33.9213033,-116.8741839,fuel
,33.4135702,-117.1584714,fuel
76,37.7769987,-122.276439,fuel
Chevron,34.0590822,-118.1729464,fuel
Arco,33.1976254,-117.1276167,fuel
Arco,34.9310885,-120.454756,fuel
Cal Gas,37.6829921,-122.1383321,fuel
Home Gas,37.7241659,-122.4024683,fuel
Texaco,37.7426761,-122.38829,fuel
Valero,37.7242275,-122.40187,fuel
Chevron,37.743115,-122.388079,fuel
Martco,37.7169401,-122.440998,fuel
76,34.0762089,-118.2386891,fuel
Flying J,35.5311601,-119.1874575,fuel
Silver Gas & Diesel,37.732214,-122.4057886,fuel
Shell,37.7325383,-122.406123,fuel
